date,year,co2_ppm,temp_gcag_c,temp_gistemp_c
1850-12-31,1850,,-0.4265,
1851-12-31,1851,,-0.2635,
1852-12-31,1852,,-0.2241,
1853-12-31,1853,,-0.2623,
1854-12-31,1854,,-0.2936,
1855-12-31,1855,,-0.2914,
1856-12-31,1856,,-0.3281,
1857-12-31,1857,,-0.4659,
1858-12-31,1858,,-0.3968,
1859-12-31,1859,,-0.2920,
1860-12-31,1860,,-0.4071,
1861-12-31,1861,,-0.4637,
1862-12-31,1862,,-0.5548,
1863-12-31,1863,,-0.3828,
1864-12-31,1864,,-0.4941,
1865-12-31,1865,,-0.3922,
1866-12-31,1866,,-0.4002,
1867-12-31,1867,,-0.3994,
1868-12-31,1868,,-0.3631,
1869-12-31,1869,,-0.3185,
1870-12-31,1870,,-0.3278,
1871-12-31,1871,,-0.3734,
1872-12-31,1872,,-0.3095,
1873-12-31,1873,,-0.3212,
1874-12-31,1874,,-0.3654,
1875-12-31,1875,,-0.3667,
1876-12-31,1876,,-0.4108,
1877-12-31,1877,,-0.0824,
1878-12-31,1878,,0.0103,
1879-12-31,1879,,-0.2887,
1880-12-31,1880,,-0.3032,-0.1792
1881-12-31,1881,,-0.2130,-0.0917
1882-12-31,1882,,-0.2721,-0.1150
1883-12-31,1883,,-0.3276,-0.1767
1884-12-31,1884,,-0.4744,-0.2850
1885-12-31,1885,,-0.4581,-0.3358
1886-12-31,1886,,-0.4082,-0.3167
1887-12-31,1887,,-0.4883,-0.3650
1888-12-31,1888,,-0.3726,-0.1775
1889-12-31,1889,,-0.2504,-0.1092
1890-12-31,1890,,-0.5003,-0.3550
1891-12-31,1891,,-0.3975,-0.2258
1892-12-31,1892,,-0.5066,-0.2742
1893-12-31,1893,,-0.4949,-0.3142
1894-12-31,1894,,-0.4787,-0.3067
1895-12-31,1895,,-0.4418,-0.2275
1896-12-31,1896,,-0.2786,-0.1158
1897-12-31,1897,,-0.2547,-0.1125
1898-12-31,1898,,-0.4740,-0.2783
1899-12-31,1899,,-0.3443,-0.1767
1900-12-31,1900,,-0.2302,-0.0858
1901-12-31,1901,,-0.2872,-0.1550
1902-12-31,1902,,-0.4374,-0.2825
1903-12-31,1903,,-0.5352,-0.3717
1904-12-31,1904,,-0.5971,-0.4767
1905-12-31,1905,,-0.4059,-0.2642
1906-12-31,1906,,-0.3154,-0.2258
1907-12-31,1907,,-0.4995,-0.3883
1908-12-31,1908,,-0.5066,-0.4300
1909-12-31,1909,,-0.5329,-0.4892
1910-12-31,1910,,-0.5221,-0.4417
1911-12-31,1911,,-0.5398,-0.4483
1912-12-31,1912,,-0.4761,-0.3717
1913-12-31,1913,,-0.4635,-0.3525
1914-12-31,1914,,-0.2595,-0.1633
1915-12-31,1915,,-0.1906,-0.1475
1916-12-31,1916,,-0.4202,-0.3642
1917-12-31,1917,,-0.5439,-0.4625
1918-12-31,1918,,-0.4260,-0.3033
1919-12-31,1919,,-0.3324,-0.2800
1920-12-31,1920,,-0.3044,-0.2792
1921-12-31,1921,,-0.2414,-0.1917
1922-12-31,1922,,-0.3381,-0.2850
1923-12-31,1923,,-0.3146,-0.2692
1924-12-31,1924,,-0.3085,-0.2717
1925-12-31,1925,,-0.2796,-0.2233
1926-12-31,1926,,-0.1221,-0.1108
1927-12-31,1927,,-0.2258,-0.2208
1928-12-31,1928,,-0.2084,-0.2033
1929-12-31,1929,,-0.3903,-0.3642
1930-12-31,1930,,-0.1699,-0.1600
1931-12-31,1931,,-0.1058,-0.0967
1932-12-31,1932,,-0.1500,-0.1625
1933-12-31,1933,,-0.3283,-0.2883
1934-12-31,1934,,-0.1770,-0.1283
1935-12-31,1935,,-0.2129,-0.2017
1936-12-31,1936,,-0.1710,-0.1508
1937-12-31,1937,,-0.0160,-0.0325
1938-12-31,1938,,-0.0129,-0.0033
1939-12-31,1939,,-0.0418,-0.0208
1940-12-31,1940,,0.0738,0.1175
1941-12-31,1941,,0.0344,0.1783
1942-12-31,1942,,-0.0005,0.0625
1943-12-31,1943,,0.0064,0.0867
1944-12-31,1944,,0.1446,0.2008
1945-12-31,1945,,0.0429,0.0950
1946-12-31,1946,,-0.1227,-0.0717
1947-12-31,1947,,-0.0960,-0.0267
1948-12-31,1948,,-0.1292,-0.1058
1949-12-31,1949,,-0.1539,-0.1083
1950-12-31,1950,,-0.2397,-0.1750
1951-12-31,1951,,-0.0719,-0.0683
1952-12-31,1952,,0.0108,0.0108
1953-12-31,1953,,0.0770,0.0825
1954-12-31,1954,,-0.1175,-0.1317
1955-12-31,1955,,-0.1987,-0.1400
1956-12-31,1956,,-0.2650,-0.1883
1957-12-31,1957,,-0.0349,0.0475
1958-12-31,1958,,-0.0165,0.0592
1959-12-31,1959,315.98,-0.0465,0.0308
1960-12-31,1960,316.91,-0.1134,-0.0250
1961-12-31,1961,317.64,-0.0144,0.0583
1962-12-31,1962,318.45,-0.0588,0.0308
1963-12-31,1963,318.99,-0.0314,0.0533
1964-12-31,1964,319.62,-0.3021,-0.1983
1965-12-31,1965,320.04,-0.2023,-0.1067
1966-12-31,1966,321.37,-0.1454,-0.0550
1967-12-31,1967,322.18,-0.1157,-0.0242
1968-12-31,1968,323.05,-0.1640,-0.0833
1969-12-31,1969,324.62,-0.0278,0.0517
1970-12-31,1970,325.68,-0.0840,0.0275
1971-12-31,1971,326.32,-0.2041,-0.0800
1972-12-31,1972,327.46,-0.0902,0.0075
1973-12-31,1973,329.68,0.0525,0.1608
1974-12-31,1974,330.19,-0.1687,-0.0717
1975-12-31,1975,331.13,-0.1060,-0.0133
1976-12-31,1976,332.03,-0.2108,-0.0983
1977-12-31,1977,333.84,0.1051,0.1783
1978-12-31,1978,335.41,0.0055,0.0658
1979-12-31,1979,336.84,0.0881,0.1617
1980-12-31,1980,338.76,0.1915,0.2533
1981-12-31,1981,340.12,0.2470,0.3208
1982-12-31,1982,341.48,0.0310,0.1375
1983-12-31,1983,343.15,0.2208,0.3108
1984-12-31,1984,344.87,0.0460,0.1542
1985-12-31,1985,346.35,0.0460,0.1175
1986-12-31,1986,347.61,0.0923,0.1792
1987-12-31,1987,349.31,0.2382,0.3200
1988-12-31,1988,351.69,0.2776,0.3875
1989-12-31,1989,353.20,0.1749,0.2725
1990-12-31,1990,354.45,0.3550,0.4467
1991-12-31,1991,355.70,0.3338,0.4050
1992-12-31,1992,356.54,0.1200,0.2217
1993-12-31,1993,357.21,0.1611,0.2308
1994-12-31,1994,358.96,0.2274,0.3125
1995-12-31,1995,360.97,0.3711,0.4433
1996-12-31,1996,362.74,0.2708,0.3300
1997-12-31,1997,363.88,0.4151,0.4650
1998-12-31,1998,366.84,0.5720,0.6075
1999-12-31,1999,368.54,0.3180,0.3808
2000-12-31,2000,369.71,0.3255,0.3933
2001-12-31,2001,371.32,0.4835,0.5317
2002-12-31,2002,373.45,0.5372,0.6275
2003-12-31,2003,375.98,0.5383,0.6150
2004-12-31,2004,377.70,0.4624,0.5325
2005-12-31,2005,379.98,0.6023,0.6783
2006-12-31,2006,382.09,0.5663,0.6392
2007-12-31,2007,384.02,0.5855,0.6642
2008-12-31,2008,385.83,0.4592,0.5425
2009-12-31,2009,387.64,0.5900,0.6567
2010-12-31,2010,390.10,0.6736,0.7225
2011-12-31,2011,391.85,0.5326,0.6067
2012-12-31,2012,394.06,0.5715,0.6458
2013-12-31,2013,396.74,0.6186,0.6758
2014-12-31,2014,398.81,0.6679,0.7483
2015-12-31,2015,401.01,0.8180,0.8958
2016-12-31,2016,404.41,0.9248,1.0117
2017-12-31,2017,406.76,0.8365,0.9142
2018-12-31,2018,408.72,0.7532,0.8483
2019-12-31,2019,411.65,0.8873,0.9775
2020-12-31,2020,414.21,0.9162,1.0067
2021-12-31,2021,416.41,0.7673,0.8467
2022-12-31,2022,418.53,0.8018,0.8908
2023-12-31,2023,421.08,1.1098,1.1675
2024-12-31,2024,424.61,1.1690,1.2842
2025-12-31,2025,427.35,1.0480,1.1917
2026-12-31,2026,,1.0261,
