date,mkt_rf,smb,hml,rf
2015-01-02,-0.00120000,-0.00590000,0.00120000,0.00000000
2015-01-05,-0.01840000,0.00330000,-0.00670000,0.00000000
2015-01-06,-0.01030000,-0.00790000,-0.00290000,0.00000000
2015-01-07,0.01190000,0.00200000,-0.00670000,0.00000000
2015-01-08,0.01810000,-0.00110000,-0.00290000,0.00000000
2015-01-09,-0.00850000,0.00000000,-0.00470000,0.00000000
2015-01-12,-0.00780000,0.00400000,-0.00440000,0.00000000
2015-01-13,-0.00190000,0.00270000,0.00010000,0.00000000
2015-01-14,-0.00600000,0.00290000,-0.00500000,0.00000000
2015-01-15,-0.01080000,-0.01000000,0.00610000,0.00000000
2015-01-16,0.01360000,0.00470000,-0.00130000,0.00000000
2015-01-20,0.00110000,-0.00660000,-0.00540000,0.00000000
2015-01-21,0.00420000,-0.00970000,0.00590000,0.00000000
2015-01-22,0.01580000,0.00450000,0.00420000,0.00000000
2015-01-23,-0.00470000,0.00500000,-0.00760000,0.00000000
2015-01-26,0.00420000,0.00590000,-0.00050000,0.00000000
2015-01-27,-0.01220000,0.00650000,0.00200000,0.00000000
2015-01-28,-0.01390000,-0.00060000,-0.00810000,0.00000000
2015-01-29,0.00980000,0.00260000,0.00040000,0.00000000
2015-01-30,-0.01310000,-0.00790000,0.00050000,0.00000000
2015-02-02,0.01240000,-0.00460000,0.01000000,0.00000000
2015-02-03,0.01490000,0.00150000,0.00500000,0.00000000
2015-02-04,-0.00350000,-0.00080000,-0.00210000,0.00000000
2015-02-05,0.01100000,0.00460000,-0.00070000,0.00000000
2015-02-06,-0.00200000,0.00090000,0.00340000,0.00000000
2015-02-09,-0.00460000,-0.00360000,0.00110000,0.00000000
2015-02-10,0.01050000,-0.00300000,-0.00730000,0.00000000
2015-02-11,0.00030000,-0.00080000,-0.00340000,0.00000000
2015-02-12,0.01000000,0.00160000,-0.00050000,0.00000000
2015-02-13,0.00470000,0.00170000,-0.00300000,0.00000000
2015-02-17,0.00160000,-0.00040000,-0.00030000,0.00000000
2015-02-18,0.00030000,0.00320000,-0.00830000,0.00000000
2015-02-19,-0.00010000,0.00280000,-0.00380000,0.00000000
2015-02-20,0.00610000,-0.00400000,-0.00270000,0.00000000
2015-02-23,-0.00080000,0.00040000,-0.00370000,0.00000000
2015-02-24,0.00320000,-0.00040000,0.00710000,0.00000000
2015-02-25,0.00010000,0.00230000,-0.00480000,0.00000000
2015-02-26,-0.00080000,0.00660000,-0.00500000,0.00000000
2015-02-27,-0.00360000,-0.00220000,0.00220000,0.00000000
2015-03-02,0.00620000,0.00230000,-0.00460000,0.00000000
2015-03-03,-0.00430000,-0.00310000,0.00320000,0.00000000
2015-03-04,-0.00410000,0.00120000,-0.00370000,0.00000000
2015-03-05,0.00150000,0.00270000,-0.00430000,0.00000000
2015-03-06,-0.01290000,0.00290000,0.00410000,0.00000000
2015-03-09,0.00370000,0.00090000,0.00000000,0.00000000
2015-03-10,-0.01630000,0.00440000,-0.00530000,0.00000000
2015-03-11,-0.00030000,0.00540000,0.00510000,0.00000000
2015-03-12,0.01280000,0.00400000,0.00450000,0.00000000
2015-03-13,-0.00580000,0.00210000,-0.00020000,0.00000000
2015-03-16,0.01240000,-0.00770000,-0.00380000,0.00000000
2015-03-17,-0.00190000,0.00530000,-0.00010000,0.00000000
2015-03-18,0.01090000,-0.00530000,0.00020000,0.00000000
2015-03-19,-0.00360000,0.00890000,-0.01110000,0.00000000
2015-03-20,0.00810000,-0.00160000,0.00560000,0.00000000
2015-03-23,-0.00190000,0.00200000,0.00240000,0.00000000
2015-03-24,-0.00510000,0.00610000,-0.00260000,0.00000000
2015-03-25,-0.01560000,-0.01010000,0.01030000,0.00000000
2015-03-26,-0.00220000,0.00120000,-0.00040000,0.00000000
2015-03-27,0.00320000,0.00510000,-0.00720000,0.00000000
2015-03-30,0.01240000,0.00010000,0.00010000,0.00000000
2015-03-31,-0.00750000,0.00400000,0.00390000,0.00000000
2015-04-01,-0.00380000,0.00350000,0.00420000,0.00000000
2015-04-02,0.00350000,-0.00090000,0.00280000,0.00000000
2015-04-06,0.00610000,-0.00290000,-0.00080000,0.00000000
2015-04-07,-0.00220000,-0.00190000,-0.00190000,0.00000000
2015-04-08,0.00370000,0.00560000,-0.00740000,0.00000000
2015-04-09,0.00410000,-0.00700000,-0.00080000,0.00000000
2015-04-10,0.00490000,-0.00080000,-0.00270000,0.00000000
2015-04-13,-0.00380000,0.00510000,0.00240000,0.00000000
2015-04-14,0.00100000,-0.00210000,0.00220000,0.00000000
2015-04-15,0.00570000,0.00250000,0.00360000,0.00000000
2015-04-16,-0.00080000,-0.00090000,-0.00200000,0.00000000
2015-04-17,-0.01230000,-0.00470000,0.00170000,0.00000000
2015-04-20,0.00950000,0.00170000,-0.00280000,0.00000000
2015-04-21,-0.00100000,0.00180000,-0.00730000,0.00000000
2015-04-22,0.00460000,-0.00370000,0.00180000,0.00000000
2015-04-23,0.00290000,0.00270000,-0.00250000,0.00000000
2015-04-24,0.00170000,-0.00490000,-0.00300000,0.00000000
2015-04-27,-0.00530000,-0.00700000,0.00560000,0.00000000
2015-04-28,0.00270000,0.00180000,0.01060000,0.00000000
2015-04-29,-0.00390000,-0.00740000,0.00720000,0.00000000
2015-04-30,-0.01110000,-0.01060000,0.00710000,0.00000000
2015-05-01,0.01010000,-0.00300000,-0.00610000,0.00000000
2015-05-04,0.00320000,0.00040000,0.00220000,0.00000000
2015-05-05,-0.01190000,-0.00160000,0.00520000,0.00000000
2015-05-06,-0.00310000,0.00640000,-0.00120000,0.00000000
2015-05-07,0.00390000,0.00080000,-0.00370000,0.00000000
2015-05-08,0.01210000,-0.00560000,-0.00110000,0.00000000
2015-05-11,-0.00390000,0.00690000,-0.00050000,0.00000000
2015-05-12,-0.00260000,-0.00010000,0.00140000,0.00000000
2015-05-13,0.00010000,-0.00020000,0.00040000,0.00000000
2015-05-14,0.01010000,-0.00090000,-0.00340000,0.00000000
2015-05-15,0.00050000,-0.00250000,-0.00200000,0.00000000
2015-05-18,0.00440000,0.00750000,-0.00110000,0.00000000
2015-05-19,-0.00090000,-0.00120000,0.00230000,0.00000000
2015-05-20,-0.00050000,0.00210000,-0.00100000,0.00000000
2015-05-21,0.00230000,-0.00280000,0.00020000,0.00000000
2015-05-22,-0.00220000,-0.00100000,-0.00130000,0.00000000
2015-05-26,-0.01010000,-0.00020000,-0.00020000,0.00000000
2015-05-27,0.00930000,0.00350000,-0.00320000,0.00000000
2015-05-28,-0.00110000,0.00090000,0.00150000,0.00000000
